ab ABKHAZIAN
aa AFAR
af AFRIKAANS
ak AKAN
sq ALBANIAN
am AMHARIC
ar ARABIC
an ARAGONESE
hy ARMENIAN
as ASSAMESE
av AVARIC
ae AVESTAN
ay AYMARA
az AZERBAIJANI
bm BAMBARA
ba BASHKIR
eu BASQUE
be BELARUSIAN
bn BENGALI
bh BIHARI LANGUAGES
bi BISLAMA
bs BOSNIAN
br BRETON
bg BULGARIAN
my BURMESE
es CASTILIAN
ca CATALAN
km CENTRAL KHMER
ch CHAMORRO
ce CHECHEN
ny CHEWA
ny CHICHEWA
zh CHINESE
za CHUANG
cu CHURCH SLAVIC
cu CHURCH SLAVONIC
cv CHUVASH
kw CORNISH
co CORSICAN
cr CREE
hr CROATIAN
cs CZECH
da DANISH
dv DHIVEHI
dv DIVEHI
nl DUTCH
dz DZONGKHA
en ENGLISH
eo ESPERANTO
et ESTONIAN
ee EWE
fo FAROESE
fj FIJIAN
fi FINNISH
nl FLEMISH
fr FRENCH
ff FULAH
gd GAELIC
gl GALICIAN
lg GANDA
ka GEORGIAN
de GERMAN
ki GIKUYU
el GREEK
kl GREENLANDIC
gn GUARANI
gu GUJARATI
ht HAITIAN
ht HAITIAN CREOLE
ha HAUSA
he HEBREW
hz HERERO
hi HINDI
ho HIRI MOTU
hu HUNGARIAN
is ICELANDIC
io IDO
ig IGBO
id INDONESIAN
ia INTERLINGUA
ie INTERLINGUE
iu INUKTITUT
ik INUPIAQ
ga IRISH
it ITALIAN
ja JAPANESE
jv JAVANESE
kl KALAALLISUT
kn KANNADA
kr KANURI
ks KASHMIRI
kk KAZAKH
ki KIKUYU
rw KINYARWANDA
ky KIRGHIZ
kv KOMI
kg KONGO
ko KOREAN
kj KUANYAMA
ku KURDISH
kj KWANYAMA
ky KYRGYZ
lo LAO
la LATIN
lv LATVIAN
lb LETZEBURGESCH
li LIMBURGAN
li LIMBURGER
li LIMBURGISH
ln LINGALA
lt LITHUANIAN
lu LUBA-KATANGA
lb LUXEMBOURGISH
mk MACEDONIAN
mg MALAGASY
ms MALAY
ml MALAYALAM
dv MALDIVIAN
mt MALTESE
gv MANX
mi MAORI
mr MARATHI
mh MARSHALLESE
ro MOLDAVIAN
ro MOLDOVAN
mn MONGOLIAN
na NAURU
nv NAVAHO
nv NAVAJO
ng NDONGA
ne NEPALI
nd NORTH NDEBELE
se NORTHERN SAMI
no NORWEGIAN
ii NUOSU
ny NYANJA
ie OCCIDENTAL
oc OCCITAN
oj OJIBWA
cu OLD BULGARIAN
cu OLD CHURCH SLAVONIC
cu OLD SLAVONIC
or ORIYA
om OROMO
os OSSETIAN
os OSSETIC
pi PALI
pa PANJABI
ps PASHTO
fa PERSIAN
pl POLISH
pt PORTUGUESE
pa PUNJABI
ps PUSHTO
qu QUECHUA
ro ROMANIAN
rm ROMANSH
rn RUNDI
ru RUSSIAN
sm SAMOAN
sg SANGO
sa SANSKRIT
sc SARDINIAN
gd SCOTTISH GAELIC
sr SERBIAN
sn SHONA
ii SICHUAN YI
sd SINDHI
si SINHALA
si SINHALESE
sk SLOVAK
sl SLOVENIAN
so SOMALI
st SOTHO
nr SOUTH NDEBELE
es SPANISH
su SUNDANESE
sw SWAHILI
ss SWATI
sv SWEDISH
tl TAGALOG
ty TAHITIAN
tg TAJIK
ta TAMIL
tt TATAR
te TELUGU
th THAI
bo TIBETAN
ti TIGRINYA
to TONGA
ts TSONGA
tn TSWANA
tr TURKISH
tk TURKMEN
tw TWI
ug UIGHUR
uk UKRAINIAN
ur URDU
ug UYGHUR
uz UZBEK
ca VALENCIAN
ve VENDA
vi VIETNAMESE
vo VOLAPUK
wa WALLOON
cy WELSH
fy WESTERN FRISIAN
wo WOLOF
xh XHOSA
yi YIDDISH
yo YORUBA
za ZHUANG
zu ZULU
